Family,Genus,Infrageneric Level I,Infrageneric Level II,Infrageneric Level III,Infrageneric Level IV,Species,Common Name
,,,,,,rzedowskii,Rzedowski's pinyon
,,,Section Quinquefoliae,,,,
,,,,Subsection Gerardianae,,,
,,,,,,bungeana,Lacebark pine
,,,,,,gerardiana,Chilgoza pine
,,,,,,squamata,Qiaojia pine
,,,,Subsection Krempfianae,,,
,,,,,,krempfii,Broadleaf pine
,,,,Subsection Strobus,,,
,,,,,,amamiana,Yakushima white pine
,,,,,,albicaulis,Whitebark pine
,,,,,,armandii,Chinese white pine
,,,,,,armandii var. mastersiana,Masters white pine
,,,,,,ayacahuite,Mexican white pine
,,,,,,bhutanica,Bhutan pine
,,,,,,cembra,Swiss stone pine
,,,,,,cernua,Laotian white pine
,,,,,,chiapensis,Chiapas white pine
,,,,,,dalatensis,Vietnamese white pine
,,,,,,fenzeliana,Hainan white pine
,,,,,,fenzeliana var. dabeshanensis,Small-needle Hainan white pine
,,,,,,flexilis,Limber pine
,,,,,,× hakkodensis,Hakkodo pine
,,,,,,koraiensis,Korean pine
,,,,,,kwangtungensis,Hunan white pine
,,,,,,lambertiania,Sugar pine
,,,,,,monticola,Western white pine
,,,,,,morrisonicola,Taiwan white pine
,,,,,,parviflora,Japanese white pine
,,,,,,parviflora var. pentaphylla,Winged Japanese white pine
,,,,,,peuce,Macedonian pine
,,,,,,pumila,Siberian dwarf pine
,,,,,,sibirica,Siberian pine
,,,,,,strobiformis,Chihuahua white pine
,,,,,,strobiformis ssp. veitchii,Bigcone white pine
,,,,,,strobus,Eastern white pine
,,,,,,stylesii,Southwestern white pine
,,,,,,wallichiana,Himalayan white pine
,,,,,,wangii,Guangdong white pine
,Pseudolarix,,,,,,Golden-larch
,,,,,,amabilis,Golden-larch
,Pseudotsuga,,,,,,Douglas-fir
,,,,,,brevifolia,Shortleaf Douglas-fir
,,,,,,forrestii,Lancang Douglas-fir
,,,,,,japonica,Japanese Douglas-fir
,,,,,,macrocarpa,Bigcone Douglas-fir
,,,,,,menziesii,Coast Douglas-fir
,,,,,,menziesii ssp. glauca,Interior Douglas-fir
,,,,,,sinensis,Chinese Douglas-fir
,,,,,,sinensis var. gaussenii,Anhui Douglas-fir
,,,,,,wilsoniana,Taiwan Douglas-fir
,Tsuga,,,,,,Hemlock
,,,,,,canadensis,Eastern hemlock
,,,,,,caroliniana,Carolina hemlock
,,,,,,chinensis,Chinese hemlock
,,,,,,chinensis var. oblongisquamata,Long-scale Chinese hemlock
