species-name,common-name,family-name,genus-name,infrageneric-level-I,infrageneric-level-II,infrageneric-level-III
cembroides ssp. lagunae,Laguna pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
culminicola,Potosi pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
discolor,Border pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
edulis,Colorado pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
johannis,Dwarf pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
monophylla,Singleleaf pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
monophylla var. californiarum,California singleleaf pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
monophylla var. fallax,Arizona singleleaf pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
orizabensis,Orizaba pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
quadrifolia,Parry pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
remota,Texas pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Cembroides
maximartinezii,Bigcone pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Rzedowskiae
pinceana,Weeping pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Rzedowskiae
rzedowskii,Rzedowski's pinyon,Pinaceae,Pinus,Subgenus Strobus,Section Parrya,Subsection Rzedowskiae
bungeana,Lacebark pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Gerardianae
gerardiana,Chilgoza pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Gerardianae
squamata,Qiaojia pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Gerardianae
krempfii,Broadleaf pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Krempfianae
amamiana,Yakushima white pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
albicaulis,Whitebark pine,Pinaceae,Pinus,Subgenus Strobus,Section Quinquefoliae,Subsection Strobus
